,data,label
16177,"Tipp: Meist richte ich mir eine weitere entsprechende Menge Beeren für 1 x Knödel her und friere sie ein, damit sie auch außerhalb der Saison einmal auf den Tisch kommen.",0
44,"Das Fleisch mit der Teriyakisauce würzen und in etwas Öl braten, bis es gar ist, dabei die Hackfleischklumpen auseinander drücken.",1
19286,Normalerweise passt die Konsistenz der Soße;,0
19574,Die Linsen im Einweichwasser mit dem Lorbeerblatt weichkochen.,1
20114,In jedes Schweinemedaillon mit einem kleinen Holzspieß ein Loch bohren.,1
4001,"In einem großen Topf das Butterschmalz erhitzen, den Speck darin auslassen und die gewürfelte Zwiebel goldbraun anbraten.",1
20155,"Eier trennen, die Eiweiße zu sehr steifem Schnee aufschlagen.",1
14640,Für Parties kann dieser Salat gut schon einen Tag im Voraus zubereitet werden.,0
19894,"Geht super schnell und schmeckt mal ganz anders als ""normale"" Pasta-Sauce.",0
20490,"Tipp:Wer möchte, kann natürlich Bohnenkraut dazu geben.",0
19596,Die Hackbällchen lassen sich auch prima in der Pfanne zubereiten!,0
18448,Währenddessen vom Wirsing 8 große Blätter abtrennen und etwa 3 min blanchieren,1
20261,"Er muss durchgegart sein, d.h. er darf keinen harten Kern mehr haben.",0
19774,"Eine einfache und schnell herzustellende Suppe, die etwas dicker gehalten, auch als Eintopf Verwendung findet.",0
19920,Als Beilage passen Reis oder Blätterteigpasteten.,0
3713,"Meist kommen sie relativ schnell hoch, noch etwas ziehen lassen, ca. 15 Minuten insgesamt.",1
14021,Tipp: Den Teig kann man auch nach Belieben würzen.,0
20276,"Ich benutze für diese Suppe immer einen Hokkaido, den muss man nicht schälen.",0
17262,Dazu passt eine Salsa oder BBQ-Sauce.,0
138,Mit Mehl bestäuben und eine Mehlschwitze bereiten.,1
443,Fruchtfleisch in Stücke schneiden.,1
14728,Tipp: Dazu passen Salzkartoffeln als auch Reis und ein frischer Salat.,0
3911,"Kartoffeln und Eier mit der Schale kochen, danach abkühlen lassen und schälen.",1
19650,Reis oder Baguette dazu reichen.,1
20370,Als Wein schmeckt uns dazu ein fränkischer trockener Schwarzriesling.,0
3567,Tipp:1 EL Kürbiskernöl in den Pizzateig geben.,0
20069,Dazu passt wunderbar ein französisches Baguette.,0
425,Gut abtropfen lassen.,1
16277,Tipp: Die Schinkennudeln mit geriebenem Parmesan bestreuen!,0
20399,"Auch Pommes, Bratkartoffeln oder Kroketten munden dazu.",0
2249,Danach über die Nudeln gießen.,1
16567,Tipp:Dazu eine leichte Ei-Kräuter-Soße reichen.,0
19963,Muss man ausprobieren.,0
16608,"Die Focaccia ist schön luftig, locker und saftig und passt gut zu mediterranen Vorspeisen wie Antipasti, Salat oder ähnlichem.",0
1181,Kräuter und Creme fraiche zufügen.,1
20217,"Dabei darauf achten, gut 2-3 Suppenkellen oder besser Sieblöffel Kartoffeln dann aus der Brühe zu holen, wenn sie gerade durch sind und diese beiseite stellen.",1
14220,Kürbis und Kartoffeln werden geschält und der Kürbis entkernt.,1
19947,"Am besten schmeckt der Grünkohl, wenn er nun ohne Hitze über Nacht zieht, einige Stunden sollten es jedoch mindestens sein, damit sich das volle Aroma der Würste und des Kohls entfalten kann.",0
2213,1/2 Tasse Gemüsebrühe auf die Bratenmasse geben.,1
19697,"Besser schmeckt natürlich die selbstgemachte Brühe, aber es geht natürlich auch mit gekörnter, fertig gekaufter.",0
19517,"Bei 200°C (Umluft 180°C, Gas Stufe 3) 20-25 Minuten backen.",1
19987,Die Forellenfilets auf der Hautseite,0
19951,Mit der Sauce überziehen und den Corail dekorativ anlegen.,1
19643,"Beim ersten Mal mit ""unbekanntem"" Mehl daher ggf. das Wasser zunächst nur vorsichtig zugeben oder mit mehr Mehl andicken.",1
20154,Mit der anderen Teighälfte ebenso verfahren.,1
19776,Für den Eintopf verdoppelt sich die Menge der Kastanien.,0
1151,Alles bei mittlerer Hitze etwa 2 Stunden kochen lassen.,1
17342,50 g Butter zerlassen.,1
14552,"Tipp: wenn man die Linsen zuvor einige Stunden (evtl. über Nacht) in Wasser einweicht, dann sind sie in etwa 30 Minuten gar.",0
20319,"Dazu passen Herzoginkartoffeln, Kroketten oder Knödel.",0
15944,"Tipp: Die Rosenkohlröschen beim Putzen am Strunk kreuzweise einschneiden, dann garen sie schneller und gleichmäßig durch.",0
19749,Als Beilage reicht man Spätzle sowie frische Gartensalate.,0
4505,Die Kartoffeln etwa 30 Minuten auf mittlerer Schiene im Ofen garen.,1
952,"Die zweite Teigplatte darauf legen, eng um den Lachs formen und die Teigränder zusammendrücken.",1
18440,"Tipp:Wer mag, kann die Brotscheiben mit Schmelzkäse (ohne Kräuter) bestreichen .",0
14739,Dazu passt geröstetes Weißbrot oder Salzkartoffeln.,0
19395,"Wer viele Brote zubereiten möchte, kann das auch bei ca. 180 Grad Ober-/Unterhitze im Backofen erledigen.",1
16380,Dazu passt ein guter Rotwein z.B. Merlot.,0
19888,"Ich nehme für dieses Rezept gern Studentenfutter, da es meistens mehrere Nusssorten und noch Rosinen enthält.",0
19564,Dazu passen Kartoffelrösti oder Nudeln.,0
17857,"Tipp: Zum Schweinsbraten mit Frühlingszwiebeln passen neue, gebratene Kartoffeln.",0
2909,Bei mittlerer Hitze etwa 20 Minuten garen.,1
20041,Natürlich kann das Geschnetzelte auch mit Reis oder Nudeln serviert werden.,1
18739,Dazu passt Ciabattabrot.,0
57,"Brühe oder Wasser eingießen, aufkochen.",1
3287,"Die Butter in einer Pfanne oder flachem Topf erhitzen, Fischfond und Weißwein dazu geben und kurz aufkochen lassen.",1
19322,Dazu passt ein trockener italienischer Rotwein.,0
14919,"Tipp:Eine andere Variante wäre, das Ragout fin in fertige Blätterteigformen zu geben, überbacken werden muss das Ganze dann nicht mehr!",0
1997,Vielleicht noch mit etwas Pfeffer abschmecken.,1
482,Von außen noch mit Salz und Pfeffer würzen.,1
15214,So werden sie besonders saftig.,0
20421,", 50 g mehr Entenleber benutzen",1
898,Die Champignons mit Butter in der selben Pfanne bräunen.,1
20044,Man kann auch nur Tomatenmark oder nur Ajvar verwenden - oder auch passierte Tomaten und dafür weniger Brühe.,0
20139,"Aber mit Chilis schmeckts auch lecker, zumindest uns.",0
1985,Allerdings lieber erst einmal etwas vorsichtiger würzen und gegebenenfalls nach der Kochzeit nachwürzen.,1
23,"Den Spinat verlesen, gründlich waschen und abtropfen lassen",1
137,Zwiebeln in kleine Stückchen schneiden und mit den Kartoffeln in eine große Schmorpfanne geben.,1
19903,"Pro Person: E 53 g, F 40 g, KH 130 g, 980 Kcal.",0
13923,"Dazu passt Salat, zum Beispiel Feldsalat.",0
2243,"Zwiebeln und Knoblauch schälen, fein hacken und mit dem Fleisch vermengen.",1
103,"Diese kurz mitbraten (Vorsicht: Die Linsen dürfen nicht braun werden!), dann rasch mit der Brühe ablöschen.",1
557,Brokkoli vorsichtig unter die Sauce mischen.,1
17607,Der Zimt (nur ein Hauch) passt wunderbar zur Suppe.,0
20451,Die Baconscheiben auf einem Küchenbrett ausbreiten.,1
20298,"Sofort servieren, dazu passt Basmatireis.",1
20373,Eine schöne Kombination bietet auch Risotto.,0
16394,Mit Blüten garnierenDazu passt Basmatireis oder thailändischer Parfumreis,0
20229,Dazu passen u.a. kleine Ofenkartoffeln und Bohnen.,0
19557,Sehr lecker dazu sind Spätzle.,0
4073,"Mit Salz, Pfeffer, 1 Prise Zucker und dem Zitronensaft abschmecken.",1
17884,PS: Ich hab schon viele Rezepte von hier ausprobiert.,0
2189,"Möhren schälen, würfeln.",1
20484,Statt Minze kann man das Taboulé auch mit Zitronenmelisse zubereiten.,0
15304,"TIPP: Ich kann mir dazu auch andere Gemüsesorten vorstellen, mein Rezept ist aus den vorhandenen im Gemüsefach entstanden!",0
76,"Möhren, Fenchel und Frühlingszwiebeln darin anbraten.",1
14219,Tipp: Ein leichtes Mittagessen - auch für den Sommer (dann statt Bärlauch z. B. Basilikum oder andere frische Kräuter nehmen).,0
2897,"Wer mag, kann die Soße noch andicken.",1
15298,Dazu reicht man frisches Doppelback- oder Ciabatta-Brot.,0
4325,Das Ganze mit Salz und Pfeffer würzen und vom Feuer nehmen.,1
69,"Deckel draufsetzen und 10 - 15 Minuten sprudelnd kochen lassen, bis die Kartoffeln gar sind.",1
19983,Die Zitronenmelisse kann man auch sehr gut einfrieren.,0
20393,"die Koteletts abtropfen, nicht abtrocknen",1
20341,Dazu Kartoffel- oder Semmelknödel und Blaukraut servieren.,1
19640,"Falls es zu breiig wird, noch etwas Kichererbsenmehl hinzufügen.",1
20133,Dazu schmeckt am besten ein kühles Gläschen Bier,0
19953,"Mit viel frisch geriebenem Parmesan bestreuen (ich habe es nicht genau gemessen, es könnten sogar mehr als 100 g gewesen sein).Alles",1
20288,"Die Auswahl der Gemüsesorten kann nach Geschmack variieren, das Rindfleisch kann problemlos durch eine andere Fleischsorte ersetzt werden, wer keine Cashewkerne mag oder im Haus hat, nimmt die grobe Erdnusscreme und wem die Chilipaste zu scharf ist, ersetzt diese durch eine mildere Currypaste!",0
19617,Abschmecken und heiß oder kalt servieren mit Baguette oder Reis!,1
19911,"Wir würzen pikant mit Salz und Pfeffer und wenn man möchte, können wir die Sauce noch mit ein wenig Alkohol veredeln.",1
19618,Mit einem guten Schuss Weißwein verfeinern und evtl. mit Soßenbinder andicken.,1
2753,"Thymian, Rosmarin und Lorbeer darin vergraben.",1
18380,Dazu passt sehr gut ein Baguette.,0
4853,"Die Tomaten, den Koriander, Kurkuma und die Chilipaste dazugeben und ein paar Minuten unter ständigem Rühren kochen lassen.",1
19977,Schmeckt auch als Suppeneinlage lecker.,0
4565,"In einer Pfanne das Öl erhitzen, Hackfleisch in Portionen anbraten.",1
15894,"Wir haben 2 Varianten:Entweder:2 kleinere Äpfel, 4 Scheiben Weißbrot oder Toastbrot, 1 Zwiebel, 1 Bund Petersilie, 2 Zehen Knoblauch, 1 Ei.",0
14539,Passt gut zu Gegrilltem oder auch nur ein lecker Baguette dazu reichen.,0
20331,"Die Mengenangaben hier sind nur geschätzt, das sollte man nach Gefühl und Geschmack machen.",0
65,"Schnittlauch und Petersilie klein hacken, die Knoblauchzehe pressen und alles mit der Quark-/Joghurtmasse vermengen.",1
1004,Kross anbraten (ohne Deckel).,1
14108,"Ein Rezept aus der Heimat meines Vaters (Bessarabien, heute Moldawien): Kartoffeln in der Schale gerade eben weich kochen.",1
20283,Dazu passt ein Elsässer Riesling.,0
20091,Dazu passt Kartoffelpüree,0
19546,"Ich kenne ihn noch ohne Fleisch, dann mit Schweinebauch, aber die Steigerung ist, mit Rindfleisch zu kochen.",0
17469,Tipp:Alternativ gebe ich manchmal anstatt Hähnchen auch einfach Garnelen mit rein.,0
20056,"Tipp:Sehr lecker ist es auch, auf eine Schicht fein geschnittene Fetascheiben zu legen, bevor die nächste Lasagneplattenschicht kommt.",0
20049,Es eignet sich auch Dorsch für dieses Rezept oder ein Pangasius.,0
2447,Im vorgeheizten Backofen 35 Minuten backen.,1
264,Die Gans mit der Geflügelschere längs halbieren und dann in Portionsstücke zerteilen.,1
16852,"So lange im Ofen behalten, wie es die Lasagneplatten erfordern.",1
17323,"Tipp: Wem die Sauce zu flüssig ist, kann diese natürlich auch andicken.",0
19088,Dazu passt am besten Kartoffelpüree.,0
17514,Zu den Plinsen passt am besten Kompott.,0
15410,"Was gut zu diesen gefüllten Kalbskoteletts passt ist: Spargel, Artischocken, gebratene Pilze, Rahmspinat, oder dunkelgrüne Salate (Rucola).Man kann dieses Rezept auch gut mit Schweinskoteletts oder Hühnerbrüsten machen - aber Kalb ist das Beste!",0
105,"Am Anfang das Hüftsteak sehr klein würfeln, die Zwiebeln schälen und das Gemüse waschen.",1
17412,In der letzten Minute wird das restliche Gemüse hinzugegeben und eine Minute mitgebraten.,1
359,"Lauch, Sellerie und Möhren putzen, waschen und klein schneiden.",1
1007,Mit Basilikum bestreut servieren.,1
16052,Tipp: Ich bereite den Eintopf immer am Vortag zu.,0
3707,Gemüsebrühe erhitzen (wird später heiß benötigt).,1
66,Grünen Spargel in einer Pfanne mit etwas Öl scharf anbraten.,1
17261,"Tipp: Man kann natürlich auch frische Chilischoten mit hinein geben, aber das bleibt Euch überlassen.",0
19523,Der zerlaufene Schafskäse/Fetakäse bringt mit den Zutaten den Geschmack!,0
20409,"Die Forellen mit Apfel-Meerrettich-Dip, Salzkartoffeln und Chinakohl servieren.",1
19344,"Dazu einen guten Frankenwein, zum Beispiel einen gut gekühlten Schoppen Silvaner servieren.",1
133,"Vorsichtig unterheben, so dass sich die Nudeln mit den Pilzen vermischen.",1
1047,Mineralwasser dazugeben.,1
14304,"Schichtweise Fleisch, Zwiebeln, Mohrrüben, Weißkraut und Kartoffeln hineingehen.",1
15340,"Weißwein peu à peu dazu geben - (nicht erschrecken, wenn der Käse anfangs etwas klumpt, einfach weiter rühren bis ganz geschmolzen!)Zum Schluss",1
20340,Nur von innen salzen.,1
655,Die Brühe aufkochen.,1
20111,Fisch mit verquirltem Ei bepinseln und allseitig gründlich mit den gemahlenen Mandeln panieren.,1
18229,"Tipp: Damit eure Küche nicht wie ein blutiges Schlachtfeld aussieht, gebt ihr ausreichend Wasser in eine größere Schüssel und brecht den Granatapfel unter Wasser auf.",0
113,Fisch mit Salz und Pfeffer würzen.,1
20366,Blütenansätze rausschneiden.,1
214,Jedes Filet in 2 Scheiben der Zucchini einwickeln und die Spieße im Ofen bei 100 Grad für ca. 7 Minuten ziehen lassen.,1
20441,Zwischendurch immer mal den entstehenden Saft über das Fleisch träufeln.,1
20382,In diese Beize die Rinderhüfte 5-10 Tage einlegen (das braucht wirklich so lange !!!).,1
6089,"Gewürfelte Möhren dazugeben und weiterdünsten, nach ca. 10 Min. Brühe dazugießen und langsam kochen lassen.",1
15326,"Wein angießen und Folien gründlich einschlagen, so dass nichts auslaufen kann.",1
19589,"Die Äpfel schält man, entkernt sie und schneidet sie in kleine Stücke (ich mache immer Achtel und schneide diese nochmal in 3 - 4 Stücke).",1
1823,Währenddessen den Salat putzen und in feine Streifen schneiden.,1
3263,"Für die Haube Möhren, Käse, Ei, Kräuter und wenig Streuwürze oder Salz mischen, auf dem Fisch verteilen.",1
3767,"Apfel schälen und in die Salatmasse reiben, umrühren.",1
18571,Tipp: Eine halbfest kochende Kartoffelsorte eignet sich hierfür am besten.,0
5537,Nun das Filet ringsum gut salzen - auch die Schnittflächen innen!,1
16586,"So viel Mineralwasser dazu geben, dass das Fleisch fast bedeckt wird.",1
3049,"Mit Salz und Pfeffer würzen, in das Mehl tauchen und mit der Panade ummanteln.",1
15877,Dazu passt ein frischer Salat.,0
14047,"Tipp: Wer mag, kann kleine Grießklößchen oder geröstete Grießschnitten dazugeben.",0
20096,", nehme bitte die kürzeren Zeitangaben.",0
1769,Das Mehl darüber stäuben.,1
16348,Getränk: trockener Weißwein,0
2687,"Chinakohl putzen, in 2 cm breite Streifen schneiden und waschen.",1
230,"Öl in einer großen Pfanne erhitzen und die Zwiebelwürfel leicht anbraten, dann den Knoblauch dazugeben.",1
3959,Mit Salz und Muskat abschmecken.,1
20275,"Eine schnelle, leicht exotische Suppe, schön im Menü.",0
16012,Und einfach!,0
14836,"Tipp: Ich habe aus der restlichen Füllung Frikadellen geformt, kurz in Mehl gewendet und gebraten.",1
13576,Das restliche Gemüse und den Thymian darin bei mittlerer bis starker Hitze 10 Min. braten.,1
20013,"Sollte die Sauce etwas zu dick sein, so kann man noch ein wenig Milch zugeben.",1
19528,Die Pilze sollten noch Biss haben.,0
181,"Die Hälfte der Maronen grob hacken und mit Lorbeer u. dem Thymianzweig dazugeben, aufkochen, bei milder Hitze unter gelegentlichem Rühren 40 Min. kochen.",1
20273,"Die Suppe ist eigentlich sofort fertig, aber je länger sie ziehen kann, desto besser schmeckt sie.",0
1029,Die Kartoffeln und 2 Zwiebeln mit dem Lorbeerblatt und den Pfefferkörnern kochen.,1
19566,"Tipp: Wer die Kohlenhydrate noch weiter reduzieren und den Eiweißgehalt erhöhen will, kann statt des Mehls auch etwas Eiweißpulver verwenden.",0
17333,"Passt sehr gut zu Reis und ist eine ideale Alternative für Vegetarier und Veganer, die wieder mal ein leckeres Frikassee essen wollen.",0
16803,Tipp: Die Pfannkuchen nicht zu lange backen.,0
19521,Paprikaschoten vorsichtig Deckelchen einschneiden und durch drehende Bewegung herausziehen!,1
5153,"Den Elektrogrill auf 160°C vorheizen und die Keulen grillen bis sie gar sind, dabei mehrfach drehen.",1
13982,Wir essen dazu Pellkartoffeln.,0
19762,"Ist er zu dünnflüssig, kann man ihn durch die Zugabe von Haferflocken binden.",1
16466,Tipp: Man kann die einzelnen Hähnchenteile auch gut auf den Grill legen.,0
1379,Das Fleisch von allen Seiten mehrfach mit einem Spieß einstechen und mit Stücken der Oreganozweige und den Rosmarinnadeln spicken.,1
1257,Nach Bedarf eigene Gewürze der Wahl zugeben.,1
1747,Den Sellerie und die Möhren putzen.,1
15958,"Kleiner Tipp: Wer es richtig knusprig mag, stellt sich nebenbei noch einen Topf mit Öl auf  und legt die fertigen Rievkooche vor dem Zusammenstellen der Burger kurz ins heiße Öl und frittiert nochmal nach.",0
1607,"Restliche Kräuter dazu geben, salzen, pfeffern, 3-4 Min. garen.",1
275,"Das Sauerkraut abtropfen lassen, auf den Rippchen verteilen und die Weintrauben darüber schichten.",1
20359,Zu den King Prawns reicht man Baguette.,0
3175,Das Öl in einer beschichteten Pfanne erhitzen.,1
1943,"Zum Schluss den Rucola und die halbierten Tomaten unter die Spaghetti mischen, mit gewürfeltem Schafskäse servieren.",1
15144,"Falls man möchte, verteilt zum Schluss das Fleisch darauf.",1
4109,Das Eiklar steif schlagen und alles miteinander vermengen. Souffléformen,1
3311,"Die Zwiebeln in Würfel schneiden, die Hälfte davon in 1 Esslöffel Butter andünsten.",1
3647,"Die Paprika putzen, abbrausen, halbieren und in feine Streifen schneiden.",1
1915,"Dabei ständig rühren, damit das Hackfleisch locker bleibt.",1
16416,"Tipp: Am Tag vorher das Sauerkraut kochen, das Hackfleisch braten und die Kartoffeln kochen, dann wird es am nächsten Tag nicht zu stressig!",0
16754,Aus dem Kabeljaufilet evtl.,0
19676,"(Geht am besten, wenn man die Zutaten leicht erwärmt.)Den Fisch",0
16581,Dazu passt ein kühles Bier.,0
345,Abschmecken.,1
14189,Tipp:Wer möchte kann auch Romanesco oder Brokkoli oder eine Mischung verwenden.,0
19837,Dazu passt sehr gut Kartoffelbrei.,0
20234,"Das Innere herauslösen (am besten geht dies mit einem Melonenausstecher), so dass noch etwa 5 mm dicke Seitenwände übrigbleiben.",1
19562,Anbraten bis sie glasig ist.,0
19842,Mit Vanillesoße servieren!,1
13761,"TIPP: Die Fischpfanne kann mit einem Schuss Sherry, Wermut oder Weißwein verfeinert werden.",0
130,Falafel-Bällchen im Frittieröl 2-3 min gleichmäßig goldbraun ausbacken.,1
18719,Dazu passt ein kräftiges Schwarzbrot!,0
19868,Dazu passen Salzkartoffeln und ReisTipp: Jenaglas verwenden.,0
1967,"Spargel waschen, schälen und in kochendem Salzwasser, dem auch etwas Zucker zugefügt wurde, ca. 15 Minuten garen.",1
13800,Man kann das Essen wunderbar vorbereiten und für Nachzügler die später nach Hause kommen zum warm halten in ein Handtuch wickeln und anschließend ins Federbett stellen (so hat es meine Oma früher immer gemacht),0
1127,"Auf die Tomaten-Gemüse-Mischung geben, salzen und pfeffern, noch mal 15 Minuten köcheln.",1
13590,"In einer Pfanne Öl erhitzen, Zwiebel anbraten, Hackfleisch dazu und unter Rühren braten.",1
1925,"Zum Schluss die Aubergine würfeln, da sie schnell braun wird.",1
5753,"Mit Salz, Pfeffer, Muskat und Tabasco abschmecken.",1
20450,Das schmeckt auch super wenn beim Anbraten etwas Speck mit verwendet wird.,0
17894,Tipp: Aus der Kochbrühe von Lauch und Kartoffeln kann man noch eine leckere Lauchcremesuppe zaubern.,0
16712,Entweder Brett oder Schaber oder Presse.,0
17600,Dazu passt Reis und ein kleiner grüner Salat mit Zitronendressing.,0
15969,Tipp: die Soße kann man auch kalt dazu reichen!,0
19694,Unsere Kinder lieben diese Gemüsesuppe.,0
13604,"Das Fleisch mit 1 Bund Suppengrün in ¾ Liter kochendes Salzwasser geben und gar kochen, anschließen durch ein Sieb gießen.",1
20486,Sie haben einen leicht pfeffrigen Geschmack.,0
14094,"Wenn man mag, kann man 2-3 Lorbeerblätter und Pfefferkörner mit hineintun.",1
20007,Und bei 60°C Kerntemperatur ist das Fleisch durchgegart.,0
20112,"Bei 180°C ca. 15 Minuten, dann bei 150°C ca. 25 backen.",1
19804,"Wer sich nicht sicher im Zerteilen von Geflügel ist, bittet seinen Geflügelhändler es für ihn zu tun.",0
18717,"Dazu passt ein leckeres Risotto oder einfach nur frisches, knuspriges Brot.",0
4409,Karotten und Sellerie schälen und in kleine Würfel schneiden.,1
163,"Fleisch abtropfen lassen und mit Lauch, Champignons und Speck auf 4 Spieße stecken",1
870,Den Gemüsesugo und die Zucchini-Paprika-Mischung und die Petersilie miteinander vermischen und noch einmal kurz erhitzen.,1
18658,"Es sollten mindestens 3 Sorten sein, je nachdem, was gerade übrig ist oder welches Gemüse Saison hat.",0
17132,ein paar TK-Kräuter nach Geschmack zugeben.,1
17899,"Vorab ein Tipp: Bitte kauft für dieses Rezept nur Feta-Käse einer sehr hohen Qualität, möglichst cremig und nicht den fertig abgepackten im Supermarkt.",0
136,Die Tomaten waschen und in Scheiben schneiden.,1
19648,"5,5P pro Portion",0
20025,"Das Wintergemüse passt gut zu einem Stück Fleisch, als vegetarisches Hauptgericht mit Hirse oder Kartoffeln oder als warmer Salat mit Brot.",0
5861,"1 Liter Salzwasser zum Kochen bringen, 500g Schweinefleisch, (z. B. Schulter) waschen, hineingeben, zum Kochen bringen, abschäumen.1 Zwiebel abziehen, TK- Suppengrün(75g), Lorbeerblatt, 3-4 Pfefferkörner hinzufügen, das Fleisch in etwa 1,5 Stunden gar kochen lassen.",1
20062,"Köcheln, bis die Kartoffeln fast gar sind.",1
17717,"Tipp: Für dieses Gericht eignet sich jedes feste Fischfilet, man kann statt Fisch aber auch Schnitzel nehmen.",0
16488,"Egal ob fisch oder gefroren, die Knödel werden im Wasserbad für ca. 20 Minuten geköchelt.",1
1005,"Wenn die Bällchen rundherum braun sind, Sambal Oelek dazu geben und anschwitzen, nun die Tomatenstückchen dazu geben und mit Oregano würzen.",1
56,"Alles zum Kochen bringen und mit den Gewürzen, Kräutern, Salz, Pfeffer und Tabasco abschmecken.",1
20257,"Schmeckt köstlich, ist super einfach gemacht und kann klasse eingefroren werden.",0
20452,Gemüsebeilage:Zuerst das Gemüse zubereiten da es ca. 6 Std. marinieren sollte.,1
14713,Tipp: Sie können auch im Backofen garen - das dauert aber länger.,0
5345,Mit Kokosmilch auffüllen und das Ganze etwa 10 Minuten leise köcheln lassen.,1
3119,Den Bratensatz mit Rotwein und Lammfond ablöschen.,1
19993,Dazu Bratkartoffeln aus rohen Kartoffeln und einen grünen Salat reichen.,0
227,Alles mit Brühe und Sahne ablöschen und für ca. 5 min. köcheln lassen.,1
15332,Dazu passt auch gut Zwieback.,0
3095,"Inzwischen die weichgekochten Möhren mit dem Mixstab fein pürieren, nach und nach die in Würfel geschnittene Butter unterheben.",1
18266,"Wer Kapern mag, das passt gut.",0
3737,"Den Blätterteig aufrollen, in 8 gleichgroße Stücke teilen, eventuell Streifen zum dekorieren übrig lassen.",1
19802,Es sollte allerdings noch etwas Biss haben.,0
20289,"Das Verhältnis Ricotta/Spinat sollte in etwa 1:1 sein, sonst wird die Füllung zu trocken.",0
20,In einem großen Kochtopf reichlich Wasser erhitzen und die Spätzle von einem angefeuchteten Holzbrett mit einem Messer in feine Streifen in das kochende Wasser schaben oder einen Spätzlehobel zur Hilfe nehmen.,1
695,"Kraut, Kümmel, Knoblauch und Thymian dazugeben und nochmals 8 Min. braten.",1
14866,Dazu passt Blattsalat.,0
299,Das Tomatenfleisch vom Stielansatz befreien und in kleine Würfel schneiden.,1
20330,"Tipp: Sollte zu viel Flüssigkeit in der Spinatmischung sein, bitte etwas davon abschöpfen, sonst wird der Pfannkuchen beim Überbacken matschig.",0
4217,Den Belag dann in die mit dem Teig ausgelegte Kuchenform geben und anschließend noch mit dem geräucherten Schinken und dem Kümmel bestreuen.,1
19864,Das Gemüse sollte mit Wasser bedeckt sein.,0
4553,15 Min. leicht köcheln lassen.,1
19913,"Das Gemüse (wichtig!) getrennt, mit jeweils etwas Zwiebel und Knoblauch, in reichlich Olivenöl anbraten.",1
15017,"Wichtig dabei ist, dass die Nahtstelle gut verschlossen sein muss.",0
18042,"süße Sahne, Schmand oder Creme fraiche",0
1215,Das Öl in einer Pfanne erhitzen.,1
14091,Dazu passt Reis.,0
1655,Ebly in kochendem Wasser oder Gemüsebrühe nach Packungsanweisung garen.,1
3011,Mit je einer Scheibe Ziegenkäse belegen und im Ofen bei Umluft ca. 25 Minuten bei 160° überbacken.,1
20101,"Lecker schmeckt es auch, wenn man noch ein paar Möhren zugibt.",0
19686,Die Masse muss richtig fest sein.,0
18212,Dazu passt frisches Weißbrot oder Reis.,0
15466,Mit Apfelmus essen.,1
14757,"Dazu passt ein guter Weißwein, Zitrone und etwas Weißbrot .",0
15480,Bohnenkraut - am besten frisch - kurz mitkochen.,1
2867,"Zwiebel und Knoblauch, Sardellen fein hacken und in einer Pfanne kurz anschwitzen.",1
14240,"Die Portionen am Tisch mit feinen Schnittlauchröllchen bestreuen, passt sowohl optisch als auch geschmacklich ganz hervorragend.",1
19552,Das Gericht lässt sich für eine Feier auch sehr gut einen Tag vorher vorbereiten (ohne Überbacken) und muss dann nur noch in den Ofen geschoben werden.,0
17404,Tipp:Strudel vor dem Backen mit Sahne oder Ei bestreichen.,0
